,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
933,300.7172168,210.29794991057457,266.6771686974041,304.5451045,266.50308825817035,262.6271062955121,277.819223274841,288.70392,292.3255426,245.48204748888338
934,258.2768279,301.32651956302277,277.1422946799935,259.603162,283.7145345866852,287.1379101390092,283.1247149075342,281.79355,275.16827975,286.7104505152469
935,125.5843953,132.66707776225823,120.08718360406128,127.6244424,124.8395835062621,124.4810297831767,127.6249969627829,125.287895,120.66021512999998,123.56544587956121
936,148.9925073,159.17085147940384,147.88613167599206,168.6097777,151.02081478004726,152.4048983446841,152.38027893610752,155.88911,153.11747541999998,154.81605121061352
937,125.2938869,134.8081413226721,130.731718816892,120.973307,127.78034683425591,128.43912692146657,124.51500943069695,125.45112,124.69928653,136.3668754717855
938,111.5625511,107.89881824196895,116.49013380748963,115.4197408,113.24161369723107,113.31555616693257,113.59800591228047,113.09472,112.51825676000001,109.98145835752698
939,138.6478548,141.03208452007306,145.61668124371613,137.7281906,139.08415260613566,142.29971817285465,142.90134673159295,138.09082,161.13921187,150.55848278529038
940,132.9130348,114.72842025640776,130.8136699277724,133.1342649,131.8812132525405,131.79816972473932,132.17922690270353,132.403,132.36186418000003,129.35085973467395
941,283.8532879,266.30926987198853,266.0356874440035,279.1220614,280.16224684997496,287.1332919722076,278.358297649576,280.0694,278.9012499,254.85562677883814
942,158.1527311,147.82186158495756,159.7769742457941,150.6913954,156.20345651783484,156.75791836694523,155.45182800024497,155.89014,153.27382252,164.55756673631043
943,261.8772065,288.9928747799853,275.4949513339245,256.8368439,261.95720924135037,269.4895710014974,254.55518015027747,251.97754,272.08439076,266.4114175341305
944,132.3617386,120.72082088363783,134.32317860640669,138.8278528,134.93843160866322,134.79895303652586,135.11082335468583,134.87135,135.03512750000002,131.05014655182492
945,153.8853134,170.5388344340742,157.2488771691538,148.6894409,153.95702879511444,149.70686975039888,158.64667704787064,158.96852,155.38178747,161.6753337241457
946,136.7371551,140.92358131240888,140.66355575590018,139.224267,137.19691125267988,137.6036597980159,137.30862688371212,143.54913,136.49131132000002,146.3226397941158
947,111.5535512,115.41537302602603,116.01240368985513,112.7070035,113.25714758964465,114.43588235619023,112.236672262072,112.98444,111.51091678999998,112.86184889754735
948,114.6832141,115.52761806509665,118.28883245656654,120.0247594,115.27276925023084,115.79342866612713,115.21058151675855,114.2464,116.53173077000001,114.84781373968679
